code,coding_system,description,entity,list_name,upload_date
9iD0.00,Read,Somali - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9iD1.00,Read,Nigerian - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9iD2.00,Read,Black British - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9iD3.00,Read,Mixed Black - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9iD4.00,Read,Other Black or Black unspecified ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9iE..00,Read,Chinese - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9iF..00,Read,Other - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9iF0.00,Read,Vietnamese - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9iF1.00,Read,Japanese - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9iF2.00,Read,Filipino - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9iF3.00,Read,Malaysian - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9iF4.00,Read,Buddhist - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9iF5.00,Read,Hindu - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9iF6.00,Read,Jewish - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9iF7.00,Read,Muslim - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9iF8.00,Read,Sikh - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9iF9.00,Read,Arab - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9iFA.00,Read,North African - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9iFB.00,Read,Mid East (excl Israeli; Iranian & Arab) - eth cat 2001 cens,test,448 - res47: Ethnicity,2016-07-25
9iFC.00,Read,Israeli - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9iFD.00,Read,Iranian - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9iFE.00,Read,Kurdish - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9iFF.00,Read,Moroccan - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9iFG.00,Read,Latin American - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9iFH.00,Read,South and Central American - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9iFJ.00,Read,Mauritian/Seychellois/Maldivian/St Helena eth cat 2001census,test,448 - res47: Ethnicity,2016-07-25
9iFK.00,Read,Any other group - ethnic category 2001 census,test,448 - res47: Ethnicity,2016-07-25
9iG..00,Read,Ethnic category not stated - 2001 census,test,448 - res47: Ethnicity,2016-07-25
9S...00,Read,Ethnic groups (census),test,448 - res47: Ethnicity,2016-07-25
9S1..00,Read,White,test,448 - res47: Ethnicity,2016-07-25
9S10.00,Read,White British,test,448 - res47: Ethnicity,2016-07-25
9S11.00,Read,White Irish,test,448 - res47: Ethnicity,2016-07-25
9S12.00,Read,Other white ethnic group,test,448 - res47: Ethnicity,2016-07-25
9S13.00,Read,White Scottish,test,448 - res47: Ethnicity,2016-07-25
9S14.00,Read,Other white British ethnic group,test,448 - res47: Ethnicity,2016-07-25
9S2..00,Read,Black Caribbean,test,448 - res47: Ethnicity,2016-07-25
9S3..00,Read,Black African,test,448 - res47: Ethnicity,2016-07-25
9S4..00,Read,Black; other; non-mixed origin,test,448 - res47: Ethnicity,2016-07-25
9S41.00,Read,Black British,test,448 - res47: Ethnicity,2016-07-25
9S42.00,Read,Black Caribbean/W.I./Guyana,test,448 - res47: Ethnicity,2016-07-25
9S42.11,Read,Black Caribbean,test,448 - res47: Ethnicity,2016-07-25
9S42.12,Read,Black West Indian,test,448 - res47: Ethnicity,2016-07-25
9S42.13,Read,Black Guyana,test,448 - res47: Ethnicity,2016-07-25
9S43.00,Read,Black N African/Arab/Iranian,test,448 - res47: Ethnicity,2016-07-25
9S43.11,Read,Black North African,test,448 - res47: Ethnicity,2016-07-25
9S43.12,Read,Black Arab,test,448 - res47: Ethnicity,2016-07-25
9S43.13,Read,Black Iranian,test,448 - res47: Ethnicity,2016-07-25
9S44.00,Read,Black - other African country,test,448 - res47: Ethnicity,2016-07-25
9S45.00,Read,Black E Afric Asia/Indo-Caribb,test,448 - res47: Ethnicity,2016-07-25
9S45.11,Read,Black East African Asian,test,448 - res47: Ethnicity,2016-07-25
9S45.12,Read,Black Indo-Caribbean,test,448 - res47: Ethnicity,2016-07-25
9S46.00,Read,Black Indian sub-continent,test,448 - res47: Ethnicity,2016-07-25
9S47.00,Read,Black - other Asian,test,448 - res47: Ethnicity,2016-07-25
9S48.00,Read,Black Black - other,test,448 - res47: Ethnicity,2016-07-25
9S5..00,Read,Black - other; mixed,test,448 - res47: Ethnicity,2016-07-25
9S51.00,Read,Other Black - Black/White orig,test,448 - res47: Ethnicity,2016-07-25
9S52.00,Read,Other Black - Black/Asian orig,test,448 - res47: Ethnicity,2016-07-25
9S6..00,Read,Indian,test,448 - res47: Ethnicity,2016-07-25
9S7..00,Read,Pakistani,test,448 - res47: Ethnicity,2016-07-25
9S8..00,Read,Bangladeshi,test,448 - res47: Ethnicity,2016-07-25
9S9..00,Read,Chinese,test,448 - res47: Ethnicity,2016-07-25
9SA..00,Read,Other ethnic non-mixed (NMO),test,448 - res47: Ethnicity,2016-07-25
9SA1.00,Read,Brit. ethnic minor. spec.(NMO),test,448 - res47: Ethnicity,2016-07-25
9SA2.00,Read,Brit. ethnic minor. unsp (NMO),test,448 - res47: Ethnicity,2016-07-25
9SA3.00,Read,Caribbean I./W.I./Guyana (NMO),test,448 - res47: Ethnicity,2016-07-25
9SA3.11,Read,Caribbean Island (NMO),test,448 - res47: Ethnicity,2016-07-25
9SA3.12,Read,West Indian (NMO),test,448 - res47: Ethnicity,2016-07-25
9SA3.13,Read,Guyana (NMO),test,448 - res47: Ethnicity,2016-07-25
9SA4.00,Read,N African Arab/Iranian (NMO),test,448 - res47: Ethnicity,2016-07-25
9SA4.11,Read,North African Arab (NMO),test,448 - res47: Ethnicity,2016-07-25
9SA4.12,Read,Iranian (NMO),test,448 - res47: Ethnicity,2016-07-25
9SA5.00,Read,Other African countries (NMO),test,448 - res47: Ethnicity,2016-07-25
